,,,Annotator 1,,,Annotator 2,,,Annotator 3,,,Annotator Labels ,,,,Labels Replacement ,,,,
id_str,,,(PL),(EL),,(PL),(EL),,(PL),(EL),,Annot1,Annot2,Annot3,,Annot1,Annot2,Annot3,,Majority Labels
1046523580266221576,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994188183415017473,,,IR,NE,,IR,NE,,WA,DS,,IRNE,IRNE,WADS,,IRNE,IRNE,IRNE,,IRNE
979741154819366914,,,IM,DS,,IR,NE,,HI,DS,,IMDS,IRNE,HIDS,,IMDS,IRNE,IRNE,,IRNE
990738661879767040,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1005879349566984192,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
984153860087468034,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
999312662017257473,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
995691810403049472,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
981572207792082944,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
1001149452244144129,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
979711278477438977,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
983521877011419136,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994222255315079168,,,IR,NE,,IR,NE,,HI,DS,,IRNE,IRNE,HIDS,,IRNE,IRNE,IRNE,,IRNE
990238623772676098,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
979116043091283968,,,WA,DS,,WA,DS,,WA,DS,,WADS,WADS,WADS,,IRNE,IRNE,IRNE,,IRNE
994245685020168192,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
991441044435800065,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
997523270701379584,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991309200503517186,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1022589135339638784,,,WA,DS,,WA,DS,,IM,DS,,WADS,WADS,IMDS,,IRNE,IRNE,IMDS,,IRNE
991737424186347520,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1001258277131481089,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
988092879347298304,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
987912540708638720,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
1035647363036131331,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
991733171279618051,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
981569023157645312,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
994991567307001856,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
988724133356867584,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994952572090880000,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037430499197820929,,,WA,FL,,IR,NE,,IM,FL,,WAFL,IRNE,IMFL,,IRNE,IRNE,IMFL,,IRNE
994674016760803328,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
979742144998100992,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
989076238626115585,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
988520749546733568,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
988407483281616897,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
979181891185242112,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
974014048491667463,,,WA,DS,,WA,DS,,IM,DS,,WADS,WADS,IMDS,,IRNE,IRNE,IMDS,,IRNE
988115386888609792,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
992067026402365440,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983968273313292288,,,WA,FL,,WA,DS,,WA,FL,,WAFL,WADS,WAFL,,IRNE,IRNE,IRNE,,IRNE
1005554051487092737,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
981558678947094528,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
984404597824524288,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
1045424897370062851,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991726019655630848,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
980582265855111170,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
979402709953662982,,,WA,DS,,WA,DS,,WA,DS,,WADS,WADS,WADS,,IRNE,IRNE,IRNE,,IRNE
990145879825944576,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994994576762068992,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
979335833554702336,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
981566879281090561,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
981537340798758912,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
980110953793585152,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
988127789491597312,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038494524706877440,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994250585653284865,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
981935124022521857,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983409914432409601,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
980128183247925248,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
988154458264801281,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
988142482973253638,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
984148259978579973,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
991717271830695936,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
1044794686102228992,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
980182132025851904,,,IR,NE,,IR,NE,,IM,DS,,IRNE,IRNE,IMDS,,IRNE,IRNE,IMDS,,IRNE
989530768044118016,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1030522078011826178,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044766617283043328,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037415439024906240,,,IM,DS,,IM,DS,,IM,DS,,IMDS,IMDS,IMDS,,IMDS,IMDS,IMDS,,IMDS
1033724148017709056,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1005307763633852416,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037621012014276613,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1041240942500605952,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
992796959831416832,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044873269361479680,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1033421592246845440,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1022486987427606528,,,WA,DS,,WA,DS,,WA,DS,,WADS,WADS,WADS,,IRNE,IRNE,IRNE,,IRNE
992862069732052992,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
973313268201787392,,,IM,DS,,IR,NE,,IM,DS,,IMDS,IRNE,IMDS,,IMDS,IRNE,IMDS,,IMDS
1037254674569723904,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037220495110955008,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991109608231096326,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
990611418532728832,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
994945064756563973,,,WA,DS,,WA,DS,,WA,DS,,WADS,WADS,WADS,,IRNE,IRNE,IRNE,,IRNE
990162579644403712,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
995299113875984384,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1022529309355982850,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
981168146437386241,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
988403614371729408,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
