,,,,Labels After Replacement ,,,,
id_str,,,,Annot1,Annot2,Annot3,,Majority Labels
1046523580266221576,,,,IRNE,IRNE,IRNE,,IRNE
994188183415017473,,,,IRNE,IRNE,IRNE,,IRNE
979741154819366914,,,,IMDS,IRNE,IRNE,,IRNE
990738661879767040,,,,IRNE,IRNE,IRNE,,IRNE
1005879349566984192,,,,IRNE,IRNE,IRNE,,IRNE
984153860087468034,,,,IRNE,IRNE,IRNE,,IRNE
999312662017257473,,,,IRNE,IRNE,IRNE,,IRNE
995691810403049472,,,,IRNE,IRNE,IRNE,,IRNE
981572207792082944,,,,IMDS,IMDS,IMDS,,IMDS
1001149452244144129,,,,IRNE,IRNE,IRNE,,IRNE
979711278477438977,,,,IMDS,IRNE,IMDS,,IMDS
983521877011419136,,,,IRNE,IRNE,IRNE,,IRNE
994222255315079168,,,,IRNE,IRNE,IRNE,,IRNE
990238623772676098,,,,IRNE,IRNE,IRNE,,IRNE
979116043091283968,,,,IRNE,IRNE,IRNE,,IRNE
994245685020168192,,,,IRNE,IRNE,IMDS,,IRNE
991441044435800065,,,,IRNE,IRNE,IRNE,,IRNE
997523270701379584,,,,IRNE,IRNE,IRNE,,IRNE
991309200503517186,,,,IRNE,IRNE,IRNE,,IRNE
1022589135339638784,,,,IRNE,IRNE,IMDS,,IRNE
991737424186347520,,,,IRNE,IRNE,IRNE,,IRNE
1001258277131481089,,,,IRNE,IRNE,IRNE,,IRNE
988092879347298304,,,,IMDS,IRNE,IMDS,,IMDS
987912540708638720,,,,IMDS,IRNE,IMDS,,IMDS
1035647363036131331,,,,IRNE,IRNE,IMDS,,IRNE
991733171279618051,,,,IRNE,IRNE,IRNE,,IRNE
981569023157645312,,,,IMDS,IRNE,IMDS,,IMDS
994991567307001856,,,,IMDS,IMDS,IMDS,,IMDS
988724133356867584,,,,IRNE,IRNE,IRNE,,IRNE
994952572090880000,,,,IRNE,IRNE,IRNE,,IRNE
1037430499197820929,,,,IRNE,IRNE,IMFL,,IRNE
994674016760803328,,,,IRNE,IRNE,IRNE,,IRNE
979742144998100992,,,,IRNE,IRNE,IMDS,,IRNE
989076238626115585,,,,IRNE,IRNE,IRNE,,IRNE
988520749546733568,,,,IMDS,IRNE,IMDS,,IMDS
988407483281616897,,,,IRNE,IRNE,IMDS,,IRNE
979181891185242112,,,,IRNE,IRNE,IRNE,,IRNE
974014048491667463,,,,IRNE,IRNE,IMDS,,IRNE
988115386888609792,,,,IRNE,IRNE,IRNE,,IRNE
992067026402365440,,,,IRNE,IRNE,IRNE,,IRNE
983968273313292288,,,,IRNE,IRNE,IRNE,,IRNE
1005554051487092737,,,,IRNE,IRNE,IRNE,,IRNE
981558678947094528,,,,IMDS,IMDS,IMDS,,IMDS
984404597824524288,,,,IRNE,IRNE,IMDS,,IRNE
1045424897370062851,,,,IRNE,IRNE,IRNE,,IRNE
991726019655630848,,,,IMDS,IRNE,IMDS,,IMDS
980582265855111170,,,,IRNE,IRNE,IMDS,,IRNE
979402709953662982,,,,IRNE,IRNE,IRNE,,IRNE
990145879825944576,,,,IRNE,IRNE,IRNE,,IRNE
994994576762068992,,,,IMDS,IMDS,IMDS,,IMDS
979335833554702336,,,,IMDS,IMDS,IMDS,,IMDS
