,,,Annotator 1,,,Annotator 2,,,Annotator 3,,, Annotator Labels,,,,Labels Replacement,,,,
id_str,,,(PL),(EL),,(PL),(EL),,(PL),(EL),,Annot1,Annot2,Annot3,,Annot1,Annot2,Annot3,,Majority Labels
970724150460461056,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
998615311636148224,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991395034254729216,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038118702288388097,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1035540286548725761,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983983490495602688,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
970723084264247296,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1046096853857710081,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1042311821062033408,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991043829800325120,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1036346156023009280,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1033824665465245698,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
982980399356874753,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037426343871492097,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1004891550374035456,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1023667143123116033,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045356140056530945,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038136534241865728,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
998614151986667520,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
984297736953581570,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1000903831339880448,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044994195512070145,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1014920421299380224,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
992802304846974976,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1046144686270885889,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991771353366790144,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039176013744406528,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1040672685200760832,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1041313934094073856,,,HI,FL,,HI,FL,,HI,FL,,HIFL,HIFL,HIFL,,IRNE,IRNE,IRNE,,IRNE
991717225651494917,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044613613879734274,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1041277601539653636,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037441037063647233,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1038009571254706176,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1024002044879929345,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
978228849510109185,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037353133675110406,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1045406412099244032,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1046505221378244608,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1031290249643745280,,,WA,FL,,WA,FL,,WA,FL,,WAFL,WAFL,WAFL,,IRNE,IRNE,IRNE,,IRNE
1037346950172082177,,,WA,FL,,WA,FL,,WA,FL,,WAFL,WAFL,WAFL,,IRNE,IRNE,IRNE,,IRNE
1045872784491065344,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1005543385535598592,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
984490823353069569,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983756475196755968,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1042421936897355776,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1046515684899999747,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037698432385863680,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
970534324788498432,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1023625999525863425,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1035250188078784512,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1041269796891975680,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
997871202118066176,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037444470407610368,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037398022169260032,,,WA,FL,,WA,FL,,WA,FL,,WAFL,WAFL,WAFL,,IRNE,IRNE,IRNE,,IRNE
988456575051419649,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1046316609701376000,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
991315381162823680,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045350977283543041,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1037840286347677697,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044972729240358912,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1045341880576352256,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1000637302291517440,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1045265429030203392,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1031304346221215744,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044971611043041280,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1030476427169288193,,,IM,FL,,IM,FL,,WA,FL,,IMFL,IMFL,WAFL,,IMFL,IMFL,IRNE,,IMFL
1005520957920956416,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039542135241023488,,,IM,DS,,IM,DS,,IM,FL,,IMDS,IMDS,IMFL,,IMDS,IMDS,IMFL,,IMDS
983648202175008768,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1037405690132881409,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
993936826019799041,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1044835542398119941,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1044847961920999424,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031245671817469956,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
981183581090443264,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
983990857215938561,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1039245924659281921,,,IR,NE,,IR,NE,,IR,NE,,IRNE,IRNE,IRNE,,IRNE,IRNE,IRNE,,IRNE
1023929141161328641,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
997817226819403776,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
1031239714433581057,,,IM,FL,,IM,FL,,IM,FL,,IMFL,IMFL,IMFL,,IMFL,IMFL,IMFL,,IMFL
