,,,,Labels After Replacement,,,,
id_str,,,,Annot1,Annot2,Annot3,,Majority Labels
970724150460461056,,,,IMFL,IMFL,IMFL,,IMFL
998615311636148224,,,,IRNE,IRNE,IRNE,,IRNE
991395034254729216,,,,IRNE,IRNE,IRNE,,IRNE
1038118702288388097,,,,IRNE,IRNE,IRNE,,IRNE
1035540286548725761,,,,IRNE,IRNE,IRNE,,IRNE
983983490495602688,,,,IMFL,IMFL,IMFL,,IMFL
970723084264247296,,,,IMFL,IMFL,IMFL,,IMFL
1046096853857710081,,,,IRNE,IRNE,IRNE,,IRNE
1042311821062033408,,,,IRNE,IRNE,IRNE,,IRNE
991043829800325120,,,,IRNE,IRNE,IRNE,,IRNE
1036346156023009280,,,,IRNE,IRNE,IRNE,,IRNE
1033824665465245698,,,,IRNE,IRNE,IRNE,,IRNE
982980399356874753,,,,IMFL,IMFL,IMFL,,IMFL
1037426343871492097,,,,IRNE,IRNE,IRNE,,IRNE
1004891550374035456,,,,IRNE,IRNE,IRNE,,IRNE
1023667143123116033,,,,IMFL,IMFL,IMFL,,IMFL
1045356140056530945,,,,IRNE,IRNE,IRNE,,IRNE
1038136534241865728,,,,IRNE,IRNE,IRNE,,IRNE
998614151986667520,,,,IRNE,IRNE,IRNE,,IRNE
984297736953581570,,,,IRNE,IRNE,IRNE,,IRNE
1000903831339880448,,,,IRNE,IRNE,IRNE,,IRNE
1044994195512070145,,,,IMFL,IMFL,IMFL,,IMFL
1014920421299380224,,,,IRNE,IRNE,IRNE,,IRNE
992802304846974976,,,,IRNE,IRNE,IRNE,,IRNE
1046144686270885889,,,,IRNE,IRNE,IRNE,,IRNE
991771353366790144,,,,IMFL,IMFL,IMFL,,IMFL
1039176013744406528,,,,IMFL,IMFL,IMFL,,IMFL
1040672685200760832,,,,IMFL,IMFL,IMFL,,IMFL
1041313934094073856,,,,IRNE,IRNE,IRNE,,IRNE
991717225651494917,,,,IMFL,IMFL,IMFL,,IMFL
1044613613879734274,,,,IRNE,IRNE,IRNE,,IRNE
1041277601539653636,,,,IRNE,IRNE,IRNE,,IRNE
1037441037063647233,,,,IRNE,IRNE,IRNE,,IRNE
1038009571254706176,,,,IRNE,IRNE,IRNE,,IRNE
1024002044879929345,,,,IRNE,IRNE,IRNE,,IRNE
978228849510109185,,,,IRNE,IRNE,IRNE,,IRNE
1037353133675110406,,,,IRNE,IRNE,IRNE,,IRNE
1045406412099244032,,,,IRNE,IRNE,IRNE,,IRNE
1046505221378244608,,,,IRNE,IRNE,IRNE,,IRNE
1031290249643745280,,,,IRNE,IRNE,IRNE,,IRNE
1037346950172082177,,,,IRNE,IRNE,IRNE,,IRNE
1045872784491065344,,,,IRNE,IRNE,IRNE,,IRNE
1005543385535598592,,,,IMFL,IMFL,IMFL,,IMFL
984490823353069569,,,,IRNE,IRNE,IRNE,,IRNE
983756475196755968,,,,IRNE,IRNE,IRNE,,IRNE
1042421936897355776,,,,IMFL,IMFL,IMFL,,IMFL
1046515684899999747,,,,IRNE,IRNE,IRNE,,IRNE
1037698432385863680,,,,IRNE,IRNE,IRNE,,IRNE
970534324788498432,,,,IRNE,IRNE,IRNE,,IRNE
1023625999525863425,,,,IMFL,IMFL,IMFL,,IMFL
1035250188078784512,,,,IRNE,IRNE,IRNE,,IRNE
1041269796891975680,,,,IRNE,IRNE,IRNE,,IRNE
997871202118066176,,,,IMFL,IMFL,IMFL,,IMFL
1037444470407610368,,,,IRNE,IRNE,IRNE,,IRNE
1037398022169260032,,,,IRNE,IRNE,IRNE,,IRNE
988456575051419649,,,,IMFL,IMFL,IMFL,,IMFL
1046316609701376000,,,,IRNE,IRNE,IRNE,,IRNE
991315381162823680,,,,IMFL,IMFL,IMFL,,IMFL
