,,,,Labels Replacement,,,,
id_str,,,,Annot1,Annot2,Annot3,,Majority Labels
998294855544590336,,,,IRNE,IRNE,IRNE,,IRNE
989053332915474432,,,,IRNE,IRNE,IRNE,,IRNE
980602110126559232,,,,IRNE,IRNE,IRNE,,IRNE
999051083438854146,,,,IRNE,IRNE,IRNE,,IRNE
993164403804602369,,,,IRNE,IRNE,IRNE,,IRNE
993779203177893889,,,,IRNE,IRNE,IRNE,,IRNE
978271138265657346,,,,IRNE,IRNE,IRNE,,IRNE
978220500689317889,,,,IRNE,IRNE,IRNE,,IRNE
997713183942029312,,,,IRNE,IRNE,IRNE,,IRNE
996131707442155521,,,,IRNE,IRNE,IRNE,,IRNE
980546901224443907,,,,IRNE,IRNE,IRNE,,IRNE
996089446264115202,,,,IRNE,IRNE,IRNE,,IRNE
994295457256947712,,,,IRNE,IRNE,IRNE,,IRNE
995370962068615168,,,,IRNE,IRNE,IRNE,,IRNE
998820364326264832,,,,IRNE,IRNE,IRNE,,IRNE
998452622188269568,,,,IRNE,IMAC,IMAC,,IMAC
980482423816298501,,,,IRNE,IRNE,IRNE,,IRNE
995653849527521280,,,,IRNE,IRNE,IRNE,,IRNE
981988546591457281,,,,IRNE,IRNE,IRNE,,IRNE
998738637247385600,,,,IRNE,IRNE,IRNE,,IRNE
998713295795314688,,,,IRNE,IRNE,IRNE,,IRNE
998305935289446400,,,,IRNE,IRNE,IRNE,,IRNE
969935334896275456,,,,IRNE,IRNE,IRNE,,IRNE
993956685419986944,,,,IRNE,IRNE,IMAC,,IRNE
992164503147118592,,,,IRNE,IRNE,IRNE,,IRNE
997743851984039937,,,,IRNE,IMAC,IRNE,,IRNE
994309717752254465,,,,IRNE,IRNE,IRNE,,IRNE
980047605127434240,,,,IRNE,IRNE,IRNE,,IRNE
997786288211267584,,,,IRNE,IRNE,IRNE,,IRNE
995379819444604928,,,,IRNE,IRNE,IRNE,,IRNE
995379902831583233,,,,IRNE,IRNE,IRNE,,IRNE
991623991063347200,,,,IRNE,IRNE,IRNE,,IRNE
998351886158848000,,,,IRNE,IRNE,IRNE,,IRNE
980710464693948416,,,,IRNE,IRNE,IRNE,,IRNE
979642676390670336,,,,IRNE,IRNE,IRNE,,IRNE
997603591748833280,,,,IRNE,IRNE,IRNE,,IRNE
998973036685594624,,,,IRNE,IRNE,IRNE,,IRNE
999417484179484672,,,,IRNE,IRNE,IRNE,,IRNE
981612814342160384,,,,IRNE,IRNE,IRNE,,IRNE
979284284845576192,,,,IRNE,IRNE,IRNE,,IRNE
983086093238177792,,,,IRNE,IRNE,IRNE,,IRNE
994612506562912257,,,,IRNE,IRNE,IRNE,,IRNE
999091503057207296,,,,IRNE,IRNE,IRNE,,IRNE
983201738344853504,,,,IRNE,IRNE,IRNE,,IRNE
996106441181327360,,,,IMAC,IMAC,IMAC,,IMAC
997923134656466944,,,,IRNE,IRNE,IRNE,,IRNE
970608003274637313,,,,IRNE,IRNE,IRNE,,IRNE
998399977369096193,,,,IRNE,IRNE,IRNE,,IRNE
999032645014249473,,,,IRNE,IRNE,IRNE,,IRNE
998263086497914880,,,,IRNE,IRNE,IRNE,,IRNE
991254470876069888,,,,IMAC,IRNE,IMAC,,IMAC
999420446398386179,,,,IRNE,IRNE,IRNE,,IRNE
995299797660782593,,,,IRNE,IRNE,IRNE,,IRNE
988757142420312069,,,,IRNE,IRNE,IRNE,,IRNE
998950383929225216,,,,IRNE,IRNE,IMAC,,IRNE
998574355855667200,,,,IRNE,IRNE,IRNE,,IRNE
997799382375370752,,,,IRNE,IRNE,IRNE,,IRNE
981388102156607489,,,,IRNE,IRNE,IRNE,,IRNE
990653712359014401,,,,IRNE,IRNE,IRNE,,IRNE
983209460276629504,,,,IRNE,IRNE,IRNE,,IRNE
989081474258362370,,,,IRNE,IRNE,IRNE,,IRNE
981999547797958661,,,,IRNE,IRNE,IRNE,,IRNE
991438142346579968,,,,IRNE,IRNE,IRNE,,IRNE
